"filename", "language", "TypeScript", "JSON with Comments", "Ignore", "JSON", "Markdown", "Shell Script", "YAML", "JavaScript", "Docker", "PostCSS", "TypeScript JSX", "XML", "comment", "blank", "total"
"c:\Users\chris\Desktop\RO-Nation.live\src\app\actions\notifications.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 27
"c:\Users\chris\Desktop\RO-Nation.live\src\app\actions\partner-content.ts", "TypeScript", 179, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 40, 251
"c:\Users\chris\Desktop\RO-Nation.live\src\app\actions\partner-events.ts", "TypeScript", 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 20, 168
"c:\Users\chris\Desktop\RO-Nation.live\src\app\actions\partner-members.ts", "TypeScript", 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 28, 211
"c:\Users\chris\Desktop\RO-Nation.live\src\app\actions\portal.ts", "TypeScript", 163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 30, 230
"c:\Users\chris\Desktop\RO-Nation.live\src\app\actions\purchase.ts", "TypeScript", 174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 127, 33, 334
"c:\Users\chris\Desktop\RO-Nation.live\src\app\actions\survey.ts", "TypeScript", 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 19, 121
"c:\Users\chris\Desktop\RO-Nation.live\src\app\actions\tickets.ts", "TypeScript", 147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 146, 26, 319
"c:\Users\chris\Desktop\RO-Nation.live\src\app\actions\tiers.ts", "TypeScript", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 11, 122
"c:\Users\chris\Desktop\RO-Nation.live\src\app\actions\venue.ts", "TypeScript", 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 37, 194
"c:\Users\chris\Desktop\RO-Nation.live\src\app\api\auth\dev\route.ts", "TypeScript", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 61
"c:\Users\chris\Desktop\RO-Nation.live\src\app\api\auth\logout\route.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 9, 58
"c:\Users\chris\Desktop\RO-Nation.live\src\app\api\auth\roblox\callback\route.ts", "TypeScript", 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 16, 122
"c:\Users\chris\Desktop\RO-Nation.live\src\app\api\auth\roblox\consent\route.ts", "TypeScript", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 15, 127
"c:\Users\chris\Desktop\RO-Nation.live\src\app\api\auth\roblox\login\route.ts", "TypeScript", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 10, 72
"c:\Users\chris\Desktop\RO-Nation.live\src\app\api\auth\sso\authorize\route.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 12, 70
"c:\Users\chris\Desktop\RO-Nation.live\src\app\api\auth\sso\callback\route.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 9, 53
"c:\Users\chris\Desktop\RO-Nation.live\src\app\api\company\surveys\[id]\export\route.ts", "TypeScript", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 11, 81
"c:\Users\chris\Desktop\RO-Nation.live\src\app\api\health\route.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 15
"c:\Users\chris\Desktop\RO-Nation.live\src\app\api\merch\plate\[token]\route.ts", "TypeScript", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 15, 95
"c:\Users\chris\Desktop\RO-Nation.live\src\app\api\merch\texture-preview\route.ts", "TypeScript", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 13, 101
"c:\Users\chris\Desktop\RO-Nation.live\src\app\api\uploads\brand\route.ts", "TypeScript", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 13, 118
"c:\Users\chris\Desktop\RO-Nation.live\src\app\api\uploads\route.ts", "TypeScript", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 14, 111
"c:\Users\chris\Desktop\RO-Nation.live\src\app\api\uploads\texture\route.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 10, 65
"c:\Users\chris\Desktop\RO-Nation.live\src\app\api\v1\discord\link\route.ts", "TypeScript", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 14, 114
"c:\Users\chris\Desktop\RO-Nation.live\src\app\api\v1\discord\unlink\route.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 29
"c:\Users\chris\Desktop\RO-Nation.live\src\app\api\v1\events\[id]\route.ts", "TypeScript", 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 21, 200
"c:\Users\chris\Desktop\RO-Nation.live\src\app\api\v1\events\[id]\seats\route.ts", "TypeScript", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 12, 98
"c:\Users\chris\Desktop\RO-Nation.live\src\app\api\v1\events\route.ts", "TypeScript", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 9, 73
"c:\Users\chris\Desktop\RO-Nation.live\src\app\api\v1\intents\[token]\route.ts", "TypeScript", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 22, 117
"c:\Users\chris\Desktop\RO-Nation.live\src\app\api\v1\intents\route.ts", "TypeScript", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 11, 123
"c:\Users\chris\Desktop\RO-Nation.live\src\app\api\v1\players\[robloxId]\tickets\route.ts", "TypeScript", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 10, 118
"c:\Users\chris\Desktop\RO-Nation.live\src\app\api\v1\tickets\gift\route.ts", "TypeScript", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 10, 80
"c:\Users\chris\Desktop\RO-Nation.live\src\app\api\v1\tickets\purchase\route.ts", "TypeScript", 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 13, 175
"c:\Users\chris\Desktop\RO-Nation.live\src\app\api\v1\tickets\redeem\route.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 7, 37
"c:\Users\chris\Desktop\RO-Nation.live\src\app\api\v1\tickets\reserve\route.ts", "TypeScript", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 10, 109
"c:\Users\chris\Desktop\RO-Nation.live\src\app\api\v1\tickets\revoke\route.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 4, 31
"c:\Users\chris\Desktop\RO-Nation.live\src\app\api\v1\tickets\verify\route.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 7, 46
"c:\Users\chris\Desktop\RO-Nation.live\src\app\api\v1\tickets\void\route.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 4, 26
"c:\Users\chris\Desktop\RO-Nation.live\src\app\authorise\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 16, 10, 99
"c:\Users\chris\Desktop\RO-Nation.live\src\app\blog\[slug]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 4, 14, 104
"c:\Users\chris\Desktop\RO-Nation.live\src\app\blog\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 2, 13
"c:\Users\chris\Desktop\RO-Nation.live\src\app\blog\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 0, 2, 10, 95
"c:\Users\chris\Desktop\RO-Nation.live\src\app\careers\[slug]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 2, 9, 97
"c:\Users\chris\Desktop\RO-Nation.live\src\app\careers\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 2, 13
"c:\Users\chris\Desktop\RO-Nation.live\src\app\careers\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 0, 0, 6, 87
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\(dash)\applications\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 175, 0, 3, 13, 191
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\(dash)\blog\[id]\edit\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 4, 38
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\(dash)\blog\new\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 3, 26
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\(dash)\blog\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 97, 0, 1, 5, 103
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\(dash)\careers\[id]\edit\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 4, 28
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\(dash)\careers\new\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 3, 24
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\(dash)\careers\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 0, 1, 5, 101
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\(dash)\docs\assets\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 9, 117
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\(dash)\docs\guides\[id]\edit\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 6, 42
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\(dash)\docs\guides\new\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 4, 33
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\(dash)\docs\guides\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99, 0, 0, 6, 105
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\(dash)\docs\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 2, 9, 68
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\(dash)\door\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 7, 6, 42
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\(dash)\enquiries\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 235, 0, 13, 21, 269
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\(dash)\events\[id]\attendees\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 215, 0, 28, 13, 256
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\(dash)\events\[id]\edit\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 5, 4, 54
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\(dash)\events\[id]\venue\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 118, 0, 7, 14, 139
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\(dash)\events\new\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 3, 33
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\(dash)\events\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99, 0, 3, 5, 107
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\(dash)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 11, 4, 46
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\(dash)\merch\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 203, 0, 14, 24, 241
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\(dash)\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 1, 9, 66
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\(dash)\partners\[slug]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 8, 11, 95
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\(dash)\partners\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 127, 0, 22, 16, 165
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\(dash)\settings\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 327, 0, 18, 21, 366
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\(dash)\surveys\[id]\edit\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 7, 59
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\(dash)\surveys\[id]\responses\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 205, 0, 2, 17, 224
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\(dash)\surveys\new\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 4, 27
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\(dash)\surveys\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 132, 0, 0, 12, 144
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\(dash)\team\[id]\edit\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 7, 40
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\(dash)\team\new\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 3, 6, 39
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\(dash)\team\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 109, 0, 4, 11, 124
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\(dash)\testimonials\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 230, 0, 21, 21, 272
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\(dash)\venues\[id]\edit\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 2, 6, 46
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\(dash)\venues\new\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 2, 8, 59
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\(dash)\venues\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 0, 9, 8, 108
"c:\Users\chris\Desktop\RO-Nation.live\src\app\company\access\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 3, 9, 91
"c:\Users\chris\Desktop\RO-Nation.live\src\app\contact\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 146, 0, 15, 14, 175
"c:\Users\chris\Desktop\RO-Nation.live\src\app\docs\(reader)\api\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1480, 0, 37, 87, 1604
"c:\Users\chris\Desktop\RO-Nation.live\src\app\docs\(reader)\brandassets\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 6, 55
"c:\Users\chris\Desktop\RO-Nation.live\src\app\docs\(reader)\guides\[slug]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 8, 10, 77
"c:\Users\chris\Desktop\RO-Nation.live\src\app\docs\(reader)\guides\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 2, 6, 40
"c:\Users\chris\Desktop\RO-Nation.live\src\app\docs\(reader)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 10, 6, 52
"c:\Users\chris\Desktop\RO-Nation.live\src\app\docs\(reader)\onboarding\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 3, 7, 44
"c:\Users\chris\Desktop\RO-Nation.live\src\app\docs\(reader)\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 5, 10, 101
"c:\Users\chris\Desktop\RO-Nation.live\src\app\docs\(reader)\runbooks\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 2, 7, 43
"c:\Users\chris\Desktop\RO-Nation.live\src\app\docs\(reader)\templates\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 4, 7, 57
"c:\Users\chris\Desktop\RO-Nation.live\src\app\docs\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 105, 0, 11, 14, 130
"c:\Users\chris\Desktop\RO-Nation.live\src\app\error.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 6, 4, 47
"c:\Users\chris\Desktop\RO-Nation.live\src\app\events\[slug]\calendar\route.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 40
"c:\Users\chris\Desktop\RO-Nation.live\src\app\events\[slug]\checkout\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 122, 0, 63, 22, 207
"c:\Users\chris\Desktop\RO-Nation.live\src\app\events\[slug]\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 3, 3, 31
"c:\Users\chris\Desktop\RO-Nation.live\src\app\events\[slug]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 319, 0, 15, 22, 356
"c:\Users\chris\Desktop\RO-Nation.live\src\app\events\[slug]\reserve\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 94, 0, 22, 12, 128
"c:\Users\chris\Desktop\RO-Nation.live\src\app\events\[slug]\seats\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 96, 0, 14, 16, 126
"c:\Users\chris\Desktop\RO-Nation.live\src\app\events\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 2, 13
"c:\Users\chris\Desktop\RO-Nation.live\src\app\events\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 3, 7, 95
